match_id,season,round,match_date,venue,crowd,home_team,away_team,home_score,away_score,margin,winner,h2h_prior_meetings,h2h_home_team_winrate_prior,home_team_score_last3_avg,home_team_score_last5_avg,home_team_score_last10_avg,home_team_margin_last3_avg,home_team_margin_last5_avg,home_team_margin_last10_avg,home_win_rate_last3_avg,home_win_rate_last5_avg,home_win_rate_last10_avg,home_win_streak_entering,home_days_rest,home_ladder_pos_entering,home_cum_points_entering,home_cum_percentage_entering,away_team_score_last3_avg,away_team_score_last5_avg,away_team_score_last10_avg,away_team_margin_last3_avg,away_team_margin_last5_avg,away_team_margin_last10_avg,away_win_rate_last3_avg,away_win_rate_last5_avg,away_win_rate_last10_avg,away_win_streak_entering,away_days_rest,away_ladder_pos_entering,away_cum_points_entering,away_cum_percentage_entering,diff_team_score_last5_avg,diff_team_margin_last5_avg,diff_win_rate_last5_avg,diff_ladder_pos_entering,diff_cum_percentage_entering,diff_days_rest
1983-03-26__Collingwood Magpies__Melbourne Demons,1983,1,1983-03-26,Melbourne Cricket Ground,72274.0,Melbourne Demons,Collingwood Magpies,125,135,-10,away,0,,,,,,,,,,,0,,1.0,0.0,100.0,,,,,,,,,,0,,1.0,0.0,100.0,,,,0.0,0.0,
1983-03-26__Carlton Blues__Richmond Tigers,1983,1,1983-03-26,Princes Park,28498.0,Carlton Blues,Richmond Tigers,136,76,60,home,0,,,,,,,,,,,0,,1.0,0.0,100.0,,,,,,,,,,0,,1.0,0.0,100.0,,,,0.0,0.0,
1983-03-26__Fitzroy Lions__Hawthorn Hawks,1983,1,1983-03-26,Junction Oval,15626.0,Fitzroy Lions,Hawthorn Hawks,112,131,-19,away,0,,,,,,,,,,,0,,1.0,0.0,100.0,,,,,,,,,,0,,1.0,0.0,100.0,,,,0.0,0.0,
1983-03-26__North Melbourne Kangaroos__St Kilda Saints,1983,1,1983-03-26,Aegis Park,18496.0,North Melbourne Kangaroos,St Kilda Saints,100,87,13,home,0,,,,,,,,,,,0,,1.0,0.0,100.0,,,,,,,,,,0,,1.0,0.0,100.0,,,,0.0,0.0,
1983-03-26__Geelong Cats__Western Bulldogs,1983,1,1983-03-26,Waverley Park,18377.0,Geelong Cats,Western Bulldogs,106,75,31,home,0,,,,,,,,,,,0,,1.0,0.0,100.0,,,,,,,,,,0,,1.0,0.0,100.0,,,,0.0,0.0,
1983-03-27__Essendon Bombers__Sydney Swans,1983,1,1983-03-27,Sydney Cricket Ground,11916.0,Sydney Swans,Essendon Bombers,111,110,1,home,0,,,,,,,,,,,0,,1.0,0.0,100.0,,,,,,,,,,0,,1.0,0.0,100.0,,,,0.0,0.0,
1983-04-02__Melbourne Demons__Richmond Tigers,1983,2,1983-04-02,Melbourne Cricket Ground,41889.0,Richmond Tigers,Melbourne Demons,100,119,-19,away,0,,76.0,76.0,76.0,-60.0,-60.0,-60.0,0.0,0.0,0.0,-1,7.0,4.0,0.0,55.88235294117647,125.0,125.0,125.0,-10.0,-10.0,-10.0,0.0,0.0,0.0,-1,7.0,4.0,0.0,92.5925925925926,-49.0,-50.0,0.0,0.0,-36.710239651416124,0.0
1983-04-02__Collingwood Magpies__Geelong Cats,1983,2,1983-04-02,Victoria Park,34751.0,Collingwood Magpies,Geelong Cats,96,101,-5,away,0,,135.0,135.0,135.0,10.0,10.0,10.0,1.0,1.0,1.0,1,7.0,1.0,4.0,108.0,106.0,106.0,106.0,31.0,31.0,31.0,1.0,1.0,1.0,1,7.0,1.0,4.0,141.33333333333334,29.0,-21.0,0.0,0.0,-33.33333333333334,0.0
1983-04-02__Carlton Blues__Western Bulldogs,1983,2,1983-04-02,Western Oval,20414.0,Western Bulldogs,Carlton Blues,99,82,17,home,0,,75.0,75.0,75.0,-31.0,-31.0,-31.0,0.0,0.0,0.0,-1,7.0,4.0,0.0,70.75471698113208,136.0,136.0,136.0,60.0,60.0,60.0,1.0,1.0,1.0,1,7.0,1.0,4.0,178.94736842105263,-61.0,-91.0,-1.0,3.0,-108.19265143992055,0.0
1983-04-04__Essendon Bombers__St Kilda Saints,1983,2,1983-04-04,Windy Hill,28071.0,Essendon Bombers,St Kilda Saints,131,70,61,home,0,,110.0,110.0,110.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1,8.0,4.0,0.0,99.09909909909909,87.0,87.0,87.0,-13.0,-13.0,-13.0,0.0,0.0,0.0,-1,9.0,4.0,0.0,87.0,23.0,12.0,0.0,0.0,12.099099099099092,-1.0
