id,player_id,team,opponent,match_date,season,round,disposals,goals,fantasy_points,disposals_last3_avg,disposals_last5_avg,disposals_last10_avg,goals_last3_avg,goals_last5_avg,goals_last10_avg,fantasy_points_last3_avg,fantasy_points_last5_avg,fantasy_points_last10_avg
517248,45439,St Kilda Saints,Brisbane Lions,1999-03-27,1999,1,6.0,1.0,30,9.0,5.666666666666667,6.875,1.0,1.0,1.3333333333333333,26.666666666666668,25.2,36.9
517432,45586,West Coast Eagles,Fremantle Dockers,1999-03-28,1999,1,1.0,,2,17.5,12.5,14.88888888888889,2.5,2.333333333333333,1.875,56.333333333333336,48.2,62.3
538057,45690,Melbourne Demons,Geelong Cats,1999-04-10,1999,3,15.0,1.0,56,13.666666666666666,15.8,18.8,,,1.0,41.333333333333336,49.2,61.2
528036,45789,Fremantle Dockers,Hawthorn Hawks,1999-04-10,1999,3,7.0,,26,7.666666666666667,6.2,5.333333333333333,,,,34.666666666666664,27.6,24.3
533862,45866,Brisbane Lions,Port Adelaide Power,1999-04-10,1999,3,3.0,,11,5.0,5.0,7.3,1.0,1.0,1.0,23.33333333333333,23.4,33.6
503831,45718,Collingwood Magpies,Richmond Tigers,1999-04-17,1999,4,10.0,,33,18.0,13.6,12.0,,1.0,1.5,59.0,48.2,44.8
527708,45571,Fremantle Dockers,Carlton Blues,1999-04-17,1999,4,,,0,2.0,3.6666666666666665,5.125,,2.0,2.0,8.333333333333334,14.8,24.5
530177,45808,Port Adelaide Power,Geelong Cats,1999-04-18,1999,4,4.0,,16,7.333333333333333,6.6,8.9,,1.0,1.0,27.666666666666668,26.4,36.9
570336,45515,Port Adelaide Power,Melbourne Demons,1999-04-24,1999,5,,,2,7.666666666666667,7.4,8.3,1.0,1.0,1.0,30.0,32.0,34.9
507532,45740,North Melbourne Kangaroos,St Kilda Saints,1999-04-24,1999,5,3.0,,10,4.666666666666667,5.0,4.6,1.0,1.0,1.0,24.33333333333333,27.6,23.0
593604,45376,Carlton Blues,Geelong Cats,1999-04-24,1999,5,3.0,,16,3.5,3.5,3.5,,,,10.0,10.0,10.0
597205,45421,Sydney Swans,Adelaide Crows,1999-04-25,1999,5,5.0,,20,9.333333333333334,10.6,8.9,1.0,1.0,1.1428571428571428,40.0,44.2,39.5
508548,45364,Richmond Tigers,Carlton Blues,1999-05-07,1999,7,1.0,1.0,9,12.0,12.8,11.4,2.0,1.6666666666666667,1.5,53.333333333333336,53.6,45.0
564690,45541,Collingwood Magpies,Brisbane Lions,1999-05-08,1999,7,7.0,,29,7.0,4.75,5.0,,,1.0,29.33333333333333,21.4,23.0
593189,45411,Port Adelaide Power,Western Bulldogs,1999-05-08,1999,7,6.0,,33,4.0,4.5,4.5,,,,15.0,18.5,18.5
574078,45349,Essendon Bombers,St Kilda Saints,1999-05-14,1999,8,6.0,,36,9.333333333333334,10.8,9.7,1.0,1.0,1.0,41.66666666666666,43.0,39.4
512738,45379,Brisbane Lions,Richmond Tigers,1999-05-16,1999,8,20.0,1.0,73,20.33333333333333,19.6,22.7,1.0,1.0,1.75,77.0,73.8,84.6
589489,45920,Melbourne Demons,Carlton Blues,1999-05-22,1999,9,18.0,,54,16.0,17.6,17.7,1.0,1.3333333333333333,1.4285714285714286,57.0,62.8,67.6
522728,45769,Port Adelaide Power,St Kilda Saints,1999-05-23,1999,9,9.0,,28,8.0,8.6,10.4,1.5,1.3333333333333333,1.3333333333333333,38.0,34.6,40.7
558247,45840,North Melbourne Kangaroos,West Coast Eagles,1999-06-14,1999,11,2.0,,4,12.333333333333334,13.0,15.7,1.3333333333333333,1.3333333333333333,1.6666666666666667,61.333333333333336,57.8,65.2
535899,45698,Melbourne Demons,Collingwood Magpies,1999-06-14,1999,11,10.0,2.0,49,8.666666666666666,8.0,9.7,1.3333333333333333,1.4,2.5,45.0,39.6,56.9
510681,45490,Essendon Bombers,Brisbane Lions,1999-06-19,1999,12,7.0,,18,13.666666666666666,11.2,12.3,,,,42.66666666666666,34.8,41.4
560362,45479,Hawthorn Hawks,Port Adelaide Power,1999-06-26,1999,13,4.0,,10,4.666666666666667,4.5,4.5,,,,20.666666666666668,17.75,17.75
503418,45964,Carlton Blues,North Melbourne Kangaroos,1999-06-26,1999,13,7.0,,20,13.333333333333334,12.8,14.8,1.5,2.25,1.8333333333333333,52.0,57.2,56.0
539647,45494,Adelaide Crows,Geelong Cats,1999-07-04,1999,14,11.0,,42,5.666666666666667,5.2,6.777777777777778,1.0,1.0,1.5,33.0,25.6,30.6
512829,45535,Collingwood Magpies,Geelong Cats,1999-07-10,1999,15,3.0,,17,8.333333333333334,7.0,6.5,,1.0,1.0,30.0,28.8,24.8
526795,45678,Carlton Blues,Adelaide Crows,1999-07-10,1999,15,3.0,,19,10.0,8.25,10.333333333333334,,,,26.666666666666668,19.6,30.4
504770,45550,Brisbane Lions,St Kilda Saints,1999-07-17,1999,16,3.0,,11,7.333333333333333,9.4,11.3,,,1.0,30.33333333333333,39.6,46.8
