team,match_date,score,team_score_last3_avg,team_score_last5_avg,team_score_last10_avg,team_margin_last3_avg,team_margin_last5_avg,team_margin_last10_avg,win_rate_last3_avg,win_rate_last5_avg,win_rate_last10_avg,win_streak_entering,days_rest,ladder_pos_entering,cum_points_entering,cum_percentage_entering
Fitzroy Lions,1996-09-01,71,57.0,56.6,59.6,-97.0,-81.0,-73.7,0.0,0.0,0.0,-13,7.0,4.0,4.0,49.71202303815695
Brisbane Bears,1996-09-21,76,107.33333333333331,116.0,102.9,16.333333333333332,27.4,26.8,0.6666666666666666,0.8,0.9,2,7.0,1.0,70.0,128.4138655462185
Carlton Blues,2025-08-21,90,86.33333333333333,79.6,74.2,2.6666666666666665,-1.6,-12.8,0.3333333333333333,0.4,0.3,1,5.0,1.0,32.0,94.68144044321328
Melbourne Demons,2025-08-22,76,98.0,90.8,87.4,13.666666666666666,5.4,0.5,0.3333333333333333,0.2,0.2,-2,6.0,4.0,28.0,93.35378323108384
Port Adelaide Power,2025-08-22,71,71.66666666666667,59.8,73.3,-49.333333333333336,-56.8,-23.0,0.0,0.0,0.3,-5,6.0,3.0,32.0,78.97535041082648
West Coast Eagles,2025-08-23,51,55.333333333333336,59.8,57.5,-62.0,-56.8,-44.2,0.0,0.0,0.0,-12,6.0,6.0,4.0,60.991379310344826
Richmond Tigers,2025-08-23,64,54.0,64.8,56.8,-45.333333333333336,-24.6,-37.7,0.0,0.2,0.2,-4,6.0,5.0,20.0,66.14135625596944
North Melbourne Kangaroos,2025-08-23,100,94.33333333333331,77.0,76.9,-5.0,-29.4,-31.2,0.3333333333333333,0.2,0.2,1,6.0,4.0,22.0,75.71047957371225
Sydney Swans,2025-08-23,118,76.0,74.0,80.3,-9.0,-8.0,3.0,0.6666666666666666,0.6,0.7,-1,6.0,3.0,44.0,93.30091842247434
St Kilda Saints,2025-08-24,93,70.33333333333333,77.8,75.3,5.0,-2.0,-15.3,1.0,0.8,0.4,4,9.0,6.0,36.0,88.49467815509377
Western Bulldogs,2025-08-24,97,121.0,116.4,118.6,62.66666666666666,54.2,46.9,1.0,0.8,0.8,4,7.0,5.0,56.0,140.28103044496487
Essendon Bombers,2025-08-27,58,65.33333333333333,60.0,58.6,-26.666666666666668,-37.4,-42.1,0.0,0.0,0.0,-12,6.0,2.0,24.0,71.8385214007782
Greater Western Sydney Giants,2025-09-06,88,116.0,98.8,103.3,33.333333333333336,11.2,20.7,1.0,0.8,0.9,3,13.0,1.0,64.0,115.26717557251908
Fremantle Dockers,2025-09-06,79,82.66666666666667,93.6,89.2,-12.0,8.0,9.6,0.6666666666666666,0.8,0.8,1,13.0,1.0,64.0,108.98071625344352
Adelaide Crows,2025-09-12,67,75.66666666666667,83.0,97.6,-2.6666666666666665,3.0,26.6,0.6666666666666666,0.8,0.9,-1,8.0,1.0,72.0,136.11435239206534
Gold Coast Suns,2025-09-13,47,100.0,93.8,93.6,30.666666666666668,15.2,21.2,0.6666666666666666,0.6,0.7,2,7.0,2.0,64.0,123.85926333150084
Hawthorn Hawks,2025-09-19,85,95.66666666666669,97.8,90.6,14.333333333333334,28.6,19.8,0.6666666666666666,0.8,0.7,2,7.0,2.0,68.0,122.04767063921992
Collingwood Magpies,2025-09-20,71,72.33333333333333,65.6,76.5,9.0,-12.8,5.0,0.6666666666666666,0.4,0.5,2,16.0,2.0,68.0,123.06777645659928
Geelong Cats,2025-09-27,75,110.0,110.0,117.5,35.666666666666664,38.8,46.0,1.0,1.0,0.9,8,8.0,1.0,76.0,141.59103043246128
Brisbane Lions,2025-09-27,122,91.33333333333331,92.8,89.9,14.666666666666666,22.2,11.7,0.6666666666666666,0.8,0.7,2,7.0,2.0,74.0,114.7984267453294
